B01001_001E,B01001B_001E,B01001_003E,B01001_004E,B01001_027E,B01001_028E,B01001B_003E,B01001B_004E,B01001B_018E,B01001B_019E,B01001_001M,B01001B_001M,B01001_003M,B01001_004M,B01001_027M,B01001_028M,B01001B_003M,B01001B_004M,B01001B_018M,B01001B_019M,state,zip code tabulation area
19999.0,6982.0,405.0,393.0,419.0,542.0,170.0,130.0,228.0,253.0,719.0,555.0,124.0,126.0,130.0,142.0,82.0,69.0,106.0,114.0,42,19027
4016.0,28.0,168.0,113.0,91.0,78.0,0.0,0.0,0.0,0.0,66.0,24.0,67.0,51.0,53.0,35.0,10.0,10.0,10.0,10.0,42,19029
4653.0,189.0,168.0,222.0,129.0,195.0,12.0,19.0,11.0,0.0,380.0,107.0,72.0,106.0,57.0,74.0,18.0,25.0,17.0,10.0,42,19031
28340.0,18859.0,943.0,901.0,752.0,882.0,703.0,568.0,538.0,658.0,498.0,681.0,185.0,233.0,197.0,207.0,163.0,198.0,173.0,175.0,42,19050
17468.0,1437.0,391.0,525.0,368.0,593.0,44.0,21.0,40.0,86.0,966.0,389.0,127.0,191.0,141.0,206.0,47.0,25.0,48.0,102.0,42,19057
36282.0,1330.0,1422.0,1236.0,1110.0,1056.0,67.0,115.0,32.0,19.0,682.0,431.0,203.0,183.0,162.0,176.0,62.0,101.0,31.0,21.0,42,19083
8961.0,469.0,97.0,188.0,133.0,127.0,0.0,0.0,0.0,0.0,584.0,208.0,58.0,66.0,62.0,66.0,15.0,15.0,15.0,15.0,42,19085
3770.0,371.0,154.0,120.0,56.0,107.0,36.0,33.0,0.0,0.0,575.0,242.0,133.0,71.0,38.0,79.0,58.0,53.0,10.0,10.0,42,19094
14095.0,613.0,320.0,469.0,249.0,375.0,0.0,94.0,70.0,0.0,594.0,428.0,127.0,182.0,158.0,202.0,16.0,146.0,110.0,16.0,42,19055
15540.0,1286.0,446.0,569.0,578.0,360.0,47.0,67.0,31.0,30.0,1047.0,384.0,97.0,176.0,235.0,101.0,43.0,57.0,39.0,37.0,42,19056
11240.0,131.0,319.0,290.0,258.0,239.0,0.0,0.0,0.0,0.0,342.0,97.0,106.0,108.0,100.0,73.0,16.0,16.0,16.0,16.0,42,19078
18492.0,2888.0,588.0,300.0,505.0,644.0,50.0,38.0,58.0,52.0,632.0,404.0,148.0,72.0,141.0,144.0,45.0,34.0,72.0,37.0,42,19090
17273.0,2648.0,583.0,534.0,536.0,560.0,38.0,43.0,15.0,82.0,622.0,516.0,123.0,156.0,132.0,145.0,59.0,42.0,20.0,59.0,42,19001
9719.0,399.0,252.0,255.0,309.0,316.0,24.0,5.0,0.0,30.0,464.0,155.0,104.0,73.0,97.0,76.0,28.0,9.0,15.0,26.0,42,19004
20925.0,3333.0,662.0,578.0,674.0,577.0,131.0,114.0,135.0,112.0,590.0,600.0,160.0,142.0,177.0,144.0,72.0,65.0,99.0,82.0,42,19007
803.0,39.0,4.0,14.0,34.0,19.0,4.0,0.0,0.0,0.0,128.0,32.0,6.0,16.0,27.0,19.0,6.0,10.0,10.0,10.0,42,19009
35345.0,25044.0,1417.0,1258.0,967.0,1351.0,1029.0,947.0,715.0,1040.0,237.0,703.0,226.0,244.0,218.0,214.0,222.0,193.0,181.0,196.0,42,19013
22146.0,15424.0,696.0,921.0,717.0,1014.0,479.0,758.0,623.0,834.0,92.0,556.0,192.0,171.0,178.0,234.0,178.0,148.0,166.0,209.0,42,19023
6630.0,2616.0,336.0,216.0,317.0,287.0,146.0,115.0,308.0,153.0,25.0,457.0,113.0,84.0,151.0,113.0,83.0,75.0,151.0,93.0,42,19032
12824.0,1249.0,357.0,281.0,420.0,245.0,15.0,19.0,75.0,8.0,313.0,298.0,95.0,97.0,174.0,83.0,27.0,32.0,72.0,12.0,42,19036
16350.0,1047.0,422.0,511.0,496.0,649.0,31.0,42.0,44.0,0.0,631.0,322.0,127.0,161.0,161.0,203.0,52.0,48.0,52.0,16.0,42,19044
16543.0,961.0,444.0,547.0,462.0,486.0,51.0,34.0,0.0,101.0,606.0,425.0,124.0,129.0,128.0,137.0,81.0,40.0,16.0,102.0,42,19054
7017.0,680.0,199.0,175.0,184.0,221.0,3.0,11.0,8.0,33.0,487.0,97.0,111.0,65.0,89.0,65.0,6.0,12.0,12.0,27.0,42,19070
9633.0,393.0,177.0,347.0,356.0,385.0,0.0,0.0,8.0,50.0,410.0,256.0,68.0,98.0,105.0,115.0,15.0,15.0,13.0,74.0,42,19072
19566.0,272.0,534.0,580.0,459.0,499.0,0.0,0.0,22.0,0.0,489.0,191.0,152.0,170.0,154.0,160.0,16.0,16.0,34.0,16.0,42,19073
32934.0,1571.0,773.0,1142.0,920.0,1090.0,0.0,15.0,19.0,48.0,694.0,343.0,188.0,250.0,235.0,167.0,22.0,18.0,21.0,70.0,42,19087
68263.0,16409.0,2224.0,2199.0,2967.0,2546.0,697.0,937.0,888.0,795.0,2060.0,1434.0,452.0,434.0,504.0,384.0,258.0,333.0,326.0,244.0,42,19111
15681.0,4719.0,321.0,267.0,533.0,289.0,113.0,136.0,144.0,80.0,978.0,619.0,132.0,110.0,180.0,118.0,98.0,79.0,100.0,65.0,42,19123
28144.0,23884.0,1118.0,1320.0,1173.0,1436.0,1057.0,1225.0,1105.0,1379.0,2056.0,2010.0,305.0,315.0,353.0,327.0,292.0,302.0,356.0,317.0,42,19142
65247.0,52094.0,2379.0,1952.0,2231.0,1796.0,1970.0,1497.0,1684.0,1584.0,2521.0,2377.0,433.0,370.0,506.0,366.0,379.0,344.0,410.0,348.0,42,19143
52594.0,2707.0,2079.0,1489.0,1830.0,1402.0,91.0,46.0,0.0,32.0,2156.0,607.0,377.0,342.0,376.0,333.0,76.0,41.0,24.0,43.0,42,19148
59633.0,16364.0,2570.0,2209.0,2418.0,2011.0,864.0,712.0,702.0,846.0,2381.0,1654.0,486.0,402.0,408.0,363.0,363.0,280.0,223.0,295.0,42,19149
33174.0,29161.0,1089.0,973.0,1126.0,1138.0,1016.0,931.0,997.0,1040.0,1652.0,1613.0,378.0,298.0,465.0,322.0,374.0,291.0,458.0,292.0,42,19151
24187.0,1372.0,601.0,543.0,715.0,674.0,29.0,0.0,82.0,28.0,297.0,313.0,140.0,121.0,138.0,125.0,33.0,19.0,47.0,29.0,42,19406
15630.0,95.0,393.0,618.0,424.0,581.0,0.0,0.0,0.0,0.0,539.0,102.0,101.0,133.0,137.0,123.0,16.0,16.0,16.0,16.0,42,19425
